Year,Month,Temperature,Humidity,Rainfall,Wind Speed
1972,Feb,25.776,81.411,107.53,-0.677
1973,Feb,26.189,82.515,77.872,-1.758
1974,Feb,25.085,84.622,183.276,-1.085
1975,Feb,25.377,82.827,200.294,-0.92
1976,Feb,25.832,74.268,42.219,-1.893
1977,Feb,24.996,83.24,143.293,-1.395
1978,Feb,26.003,81.143,88.898,-2.12
1979,Feb,25.904,84.241,147.191,-1.414
1980,Feb,25.801,83.761,99.271,-1.948
1981,Feb,25.67,83.368,113.334,-1.184
1982,Feb,25.898,81.978,112.799,-1.55
1983,Feb,26.462,81.153,57.38,-2.369
1984,Feb,25.052,88.573,497.256,-0.678
1985,Feb,26.249,86.911,284.181,-0.868
1986,Feb,25.733,82.751,131.064,-1.31
1987,Feb,25.837,80.879,67.203,-1.989
1988,Feb,26.373,85.207,200.503,-0.986
1989,Feb,25.623,79.648,89.299,-1.467
1990,Feb,26.308,85.127,131.22,-2.608
1991,Feb,26.126,83.11,88.831,-0.969
1992,Feb,26.14,84.036,185.069,-1.684
1993,Feb,26.054,79.052,77.583,-1.944
1994,Feb,26.118,83.994,196.441,-1.187
1995,Feb,25.563,87.476,344.055,-1.669
1996,Feb,25.457,84.683,163.937,-1.85
1997,Feb,26.252,83.016,207.667,-0.785
1998,Feb,27.33,81.962,113.846,-1.972
1999,Feb,26.271,82.491,91.571,-0.995
2000,Feb,26.073,84.099,220.436,-0.915
2001,Feb,25.958,83.56,170.29,-0.395
2002,Feb,26.115,81.071,83.062,-1.909
2003,Feb,26.395,83.807,131.153,-1.563
2004,Feb,26.565,80.14,65.196,-1.918
2005,Feb,27.566,75.467,73.863,-2.268
2006,Feb,26.585,84.904,149.463,-1.121
2007,Feb,26.286,82.46,133.314,-1.393
2008,Feb,26.023,81.623,83.307,-0.908
2009,Feb,26.713,80.09,115.717,-0.564
2010,Feb,27.608,80.708,71.413,-1.903
2011,Feb,26.439,81.379,48.047,-1.257
2012,Feb,26.441,84.695,247.959,-1.016
2013,Feb,26.066,88.19,413.441,-0.374
2014,Feb,26.554,76.6,17.04,-2.042
2015,Feb,26.132,80.311,132.579,-2.145
2016,Feb,26.986,85.165,154.201,-1.992
2017,Feb,26.699,84.588,213.191,-0.915
2018,Feb,26.61,79.993,63.126,-1.825
2019,Feb,27.442,78.694,59.563,-2.187
2020,Feb,27.243,81.914,102.893,-2.027
2021,Feb,26.823,77.5,18.421,-1.882
2022,Feb,26.649,83.928,168.085,-0.832
1940,Mar,26.119,79.569,90.001,-1.531
1941,Mar,25.895,85.387,225.335,0.053
1942,Mar,25.609,83.932,140.286,-1.028
1943,Mar,25.299,79.956,105.695,-1.183
1944,Mar,25.693,78.52,76.475,-1.382
1945,Mar,24.575,88.523,419.478,0.758
1946,Mar,25.653,85.105,220.481,-0.036
1947,Mar,25.737,86.011,210.651,-0.83
1948,Mar,26.134,80.749,72.114,-1.419
1949,Mar,26.729,70.292,15.645,-1.566
1950,Mar,26.145,83.696,157.015,-0.956
1951,Mar,25.679,83.181,108.947,-2.071
1952,Mar,26.28,86.048,237.703,-0.804
1953,Mar,25.88,86.218,296.34,-0.726
1954,Mar,25.865,85.513,214.716,-0.451
1955,Mar,25.858,84.149,139.719,-1.373
1956,Mar,25.887,84.136,165.663,-0.976
1957,Mar,25.863,85.097,302.278,-0.856
1958,Mar,26.322,83.581,190.128,-1.012
1959,Mar,25.997,83.504,171.329,-1.094
1960,Mar,26.07,81.311,137.379,-0.358
1961,Mar,26.466,78.844,89.878,-1.779
1962,Mar,25.825,84.043,264.213,-0.858
1963,Mar,25.892,81.718,86.133,-2.067
1964,Mar,26.054,84.728,168.348,-1.025
1965,Mar,25.638,84.104,151.989,-0.441
1966,Mar,26.184,84.5,200.525,0.009
1967,Mar,25.714,81.745,74.947,-1.171
1968,Mar,25.733,83.948,231.913,-1.666
1969,Mar,26.412,83.284,203.875,-1.268
1970,Mar,26.585,80.528,150.067,-0.826
1971,Mar,25.643,83.285,120.256,-0.818
1972,Mar,25.876,78.789,109.046,-1.481
1973,Mar,26.344,82.209,157.803,-0.889
1974,Mar,25.564,80.235,106.951,-1.751
1975,Mar,25.988,81.543,123.533,-0.477
1976,Mar,26.439,77.054,94.756,-1.375
1977,Mar,25.735,82.217,79.776,-2.02
1978,Mar,26.618,82.472,230.533,-1.301
1979,Mar,26.621,81.364,114.614,-0.96
1980,Mar,26.434,82.185,194.02,-0.845
1981,Mar,26.233,84.505,173.497,-2.172
1982,Mar,26.148,83.788,244.724,-0.633
1983,Mar,27.865,76.797,39.42,-2.203
1984,Mar,25.81,87.024,294.073,-0.684
1985,Mar,25.856,87.142,272.343,-0.456
1986,Mar,25.793,87.077,347.537,-0.848
1987,Mar,26.505,85.51,214.765,-1.615
1988,Mar,26.62,86.406,309.349,-0.583
1989,Mar,25.834,85.058,300.849,-0.541
1990,Mar,26.779,80.254,73.888,-1.88
1991,Mar,26.699,81.773,164.751,-1.558
1992,Mar,26.614,84.072,187.023,-1.606
1993,Mar,26.125,84.919,288.21,-1.417
