Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1940,25.003,25.815,26.548,26.297,26.637,26.782,27.004,26.602,26.166,25.898,25.552,25.253
1941,25.462,25.939,26.21,26.545,26.661,26.946,26.422,26.172,25.796,25.764,25.699,25.452
1942,24.878,25.584,26.033,26.043,26.862,26.788,26.049,26.131,25.749,25.842,25.317,24.953
1943,25.305,25.961,25.566,25.874,26.533,27.058,26.405,26.118,25.764,25.585,25.193,25.072
1944,25.116,25.863,26.269,26.479,26.337,26.616,26.516,26.486,25.989,26.06,25.66,25.449
1945,25.123,25.204,25.288,26.048,26.575,26.533,26.242,25.992,26.276,25.819,25.32,25.191
1946,25.22,24.898,25.985,26.047,26.557,26.94,26.69,26.685,26.21,25.741,25.552,25.579
1947,25.432,25.538,25.964,26.384,26.34,26.63,26.062,25.914,25.757,25.801,25.756,24.958
1948,24.879,25.719,26.534,26.788,26.531,26.6,26.198,26.292,26.12,26.103,25.669,25.79
1949,26.38,26.516,27.126,27.663,27.777,27.41,26.793,26.637,26.374,26.8,26.473,26.381
1950,26.563,26.481,26.756,26.719,26.855,26.84,26.281,25.91,26.268,26.084,25.928,25.714
1951,25.273,25.819,26.536,26.896,26.952,26.992,26.226,26.456,26.429,26.312,26.46,26.139
1952,25.987,26.305,26.538,26.606,26.965,27.024,26.452,26.257,26.215,26.499,25.908,25.796
1953,25.707,25.815,26.353,26.716,26.812,26.823,26.01,26.495,26.138,26.338,26.411,26.022
1954,25.734,25.825,26.203,26.492,26.614,26.647,26.107,26.27,26.06,25.739,25.653,25.432
1955,24.909,26.032,26.214,26.323,27.323,26.944,26.472,25.91,25.95,26.051,26.177,25.373
1956,25.076,25.75,26.15,26.755,26.837,26.804,26.411,26.117,25.905,25.646,25.643,25.33
1957,25.445,25.93,26.056,26.377,26.564,27.098,26.713,26.454,26.326,26.184,26.192,25.715
1958,26.222,26.252,26.76,27.253,27.216,27.333,27.089,26.446,26.521,26.347,26.033,26.04
1959,26.086,26.511,27.04,26.612,26.985,26.886,26.731,26.387,26.534,26.229,25.984,26.14
1960,25.831,26.102,26.591,26.833,27.238,26.961,26.489,26.692,26.335,26.387,26.126,25.93
1961,25.815,26.49,26.773,27.008,27.426,26.843,26.512,26.621,26.278,26.288,26.063,25.961
1962,25.538,26.119,26.393,26.99,27.404,26.915,27.131,26.067,26.324,26.307,26.172,25.995
1963,25.366,25.735,27.078,27.969,27.502,27.246,26.889,26.66,26.625,26.174,26.121,26.012
1964,26.409,26.463,26.759,27.177,27.602,27.05,26.087,26.507,26.4,26.16,26.014,25.109
1965,25.292,25.986,26.418,26.348,26.91,26.816,26.421,26.192,26.347,26.253,26.085,25.965
1966,25.601,26.061,26.593,26.884,27.004,26.742,26.498,26.355,26.133,26.154,26.074,25.732
1967,25.545,25.557,26.218,26.344,26.864,26.664,26.487,26.422,26.203,26.065,25.623,25.404
1968,25.704,26.536,26.483,26.57,26.958,26.84,26.792,26.732,26.544,26.074,25.982,25.792
1969,26.195,26.766,27.002,27.087,27.331,26.997,26.765,25.944,26.454,26.205,25.916,25.674
1970,25.892,26.63,27.185,27.176,27.217,27.191,26.522,26.384,26.291,26.539,26.147,25.82
1971,25.305,25.939,26.293,27.318,27.161,26.84,26.595,25.905,26.39,26.531,25.756,25.288
1972,25.521,26.297,26.488,26.516,26.92,26.898,27.296,26.66,26.44,26.481,26.489,25.988
1973,26.407,27.085,27.037,27.171,27.139,27.274,27.057,26.505,26.452,26.366,26.322,25.392
1974,25.428,25.81,26.644,26.927,26.822,26.81,26.35,26.67,26.069,26.602,26.184,25.939
1975,25.957,26.033,26.427,26.964,27.078,26.882,26.15,26.614,26.292,26.604,25.733,25.554
1976,25.44,26.636,26.863,26.689,26.936,26.594,26.503,26.468,26.325,26.365,26.093,25.882
1977,26.275,26.036,26.938,27.605,27.21,27.06,26.747,26.34,26.448,26.62,26.272,26.622
1978,26.656,27.362,27.536,27.343,27.64,27.701,26.895,26.734,26.611,26.605,26.19,26.175
1979,26.642,27.114,27.564,27.115,27.781,27.23,26.685,26.737,26.468,26.582,26.042,26.415
1980,26.519,26.969,26.819,27.065,27.388,27.331,26.987,26.461,26.718,26.778,26.335,26.183
1981,26.129,26.47,27.024,26.938,27.094,27.519,26.896,27.038,26.427,26.594,26.502,25.954
1982,26.13,26.81,26.789,26.734,27.112,27.295,26.795,26.43,26.461,26.183,26.319,26.24
1983,26.708,27.623,28.347,28.367,27.616,27.69,26.948,26.895,26.604,26.74,26.425,25.57
1984,25.254,25.408,26.237,26.756,26.922,27.008,26.313,26.686,26.327,26.435,26.043,25.805
1985,26.201,26.628,26.429,27.312,27.132,27.544,26.384,26.568,26.288,26.231,26.144,25.966
1986,25.514,26.196,26.162,26.742,27.413,27.117,26.9,27.032,26.44,26.453,26.261,26.218
1987,25.733,26.796,27.249,27.288,27.208,27.746,27.029,26.814,26.764,26.756,27.144,26.272
1988,26.79,26.903,27.165,27.279,27.93,27.238,26.906,26.45,26.651,27.224,26.281,25.903
1989,26.189,26.619,26.324,26.877,27.21,27.279,27.124,26.722,26.377,26.544,26.503,26.052
1990,26.102,27.078,27.74,27.475,27.644,27.49,26.721,27.113,26.603,26.492,26.81,26.097
1991,26.334,27.015,27.279,27.138,26.881,27.613,27.202,26.956,26.743,26.323,25.754,25.521
1992,26.078,26.613,27.253,27.461,27.276,27.576,26.584,27.02,26.766,26.765,25.891,25.76
1993,25.942,26.273,26.652,26.966,27.229,27.655,26.874,26.988,26.563,26.503,26.275,26.191
1994,26.588,26.806,26.528,27.238,27.113,27.224,27.289,26.641,26.63,26.423,25.884,26.635
1995,26.29,26.131,27.015,27.062,27.548,27.621,27.203,26.631,27.118,27.021,26.56,25.889
1996,25.757,26.063,27.011,27.248,27.493,27.344,27.37,26.762,27.118,26.733,26.754,26.042
1997,26.364,26.613,26.995,26.927,27.681,27.285,27.168,27.207,26.886,26.598,26.597,26.519
1998,27.176,28.326,28.343,28.563,28.573,28.092,27.455,26.848,27.245,27.492,27.19,26.395
1999,26.259,26.634,26.962,27.8,27.069,26.966,27.054,26.524,26.659,26.536,26.57,26.272
2000,25.944,26.401,26.95,27.162,27.858,27.125,27.08,26.757,26.654,27.292,26.705,26.635
2001,26.152,26.478,27.239,27.1,27.779,27.51,27.283,27.182,26.788,27.242,26.634,26.506
2002,26.433,27.462,27.677,27.433,27.951,27.66,27.436,27.174,26.853,27.25,26.836,26.975
2003,26.578,26.959,27.674,27.41,28.233,27.724,27.106,27.173,27.005,27.029,26.621,26.366
2004,26.94,27.26,27.416,27.644,28.137,27.927,26.705,27.236,26.655,26.551,26.69,26.539
2005,26.243,27.998,27.873,27.85,27.892,28.201,27.551,27.588,27.579,26.988,26.835,26.619
2006,26.206,26.931,27.601,27.455,27.401,27.328,27.474,27.04,26.884,26.97,26.417,26.619
2007,26.19,26.55,27.096,27.266,27.664,27.61,27.111,26.814,27.078,26.753,26.582,26.114
2008,26.365,26.566,26.304,26.989,27.456,27.073,26.801,26.762,27.005,26.916,26.858,26.522
2009,26.175,27.023,26.739,27.665,27.975,27.774,27.569,27.301,27.445,27.242,26.687,26.53
2010,26.844,28.037,27.804,27.996,28.401,27.877,27.392,27.388,27.15,27.735,26.881,26.441
2011,25.853,26.889,26.861,27.336,27.878,27.702,27.518,27.185,27.235,26.771,26.716,26.446
2012,26.749,26.73,27.074,27.431,27.679,28.043,27.159,26.983,27.161,26.944,26.762,26.441
