Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,26.844,26.42,27.687,27.926,28.173,28.554,27.418,27.306,27.158,26.971,26.896,26.449
2014,25.965,27.423,27.823,27.547,27.824,28.617,27.838,26.913,27.269,27.163,26.825,26.561
2015,26.466,26.995,27.711,27.756,27.794,27.965,27.792,27.562,27.382,27.376,26.943,27.27
2016,27.874,27.785,28.878,28.749,28.497,28.072,27.787,28.013,27.84,27.787,27.004,27.284
2017,27.066,26.939,27.225,27.657,27.995,27.984,27.803,27.267,27.315,27.738,26.984,27.095
2018,26.363,27.102,27.585,27.916,27.666,27.908,27.67,27.814,27.12,27.015,27.202,27.129
2019,27.627,28.465,28.358,28.197,28.409,28.03,27.78,27.931,27.946,27.092,27.288,26.822
2020,27.881,27.807,28.409,28.101,28.383,27.792,27.172,27.712,27.198,27.759,26.874,26.913
2021,26.22,27.452,27.513,27.549,27.86,27.727,27.741,27.103,27.372,27.876,27.419,27.079
2022,27.37,27.241,27.784,27.732,28.567,27.636,28.153,27.523,27.364,27.179,26.987,26.472
2023,26.47,26.816,26.911,27.953,28.78,28.292,28.073,27.547,27.88,28.0,27.547,27.134
2024,27.044,28.071,28.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
