Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1940,115.007,31.26,90.124,209.423,257.064,147.311,101.522,136.576,196.293,203.656,243.597,179.033
1941,125.33,64.017,166.353,215.067,243.935,106.21,135.31,225.493,140.982,219.682,284.588,225.58
1942,242.517,77.293,105.769,169.397,167.421,123.834,151.906,174.824,279.247,212.579,207.403,105.753
1943,18.683,19.0,119.418,82.263,163.727,72.449,145.907,143.203,311.315,316.486,373.734,111.785
1944,31.405,29.461,65.462,107.373,223.656,102.903,152.867,150.716,200.761,271.224,229.377,202.425
1945,218.818,200.071,227.725,218.995,178.954,173.666,153.906,243.858,145.99,291.841,253.471,230.844
1946,156.335,221.099,170.492,214.316,166.92,65.968,87.653,99.466,169.704,253.206,210.671,144.877
1947,143.649,105.849,169.777,176.887,267.049,196.217,193.798,296.07,296.718,297.558,302.842,199.556
1948,61.174,35.067,70.931,69.064,171.948,193.902,234.287,165.945,163.371,103.95,73.685,58.496
1949,3.308,12.229,2.784,2.94,0.071,9.424,19.089,41.36,29.665,24.861,58.978,20.673
1950,21.7,94.801,132.574,206.59,177.214,203.921,229.326,268.927,245.652,181.047,165.23,64.588
1951,75.387,47.089,56.765,82.971,73.607,85.742,136.505,117.73,65.281,118.244,168.046,148.514
1952,117.587,47.525,234.796,160.898,189.343,128.761,131.934,175.937,224.026,262.691,254.514,81.621
1953,93.016,99.145,164.825,252.797,242.386,151.313,198.291,115.833,114.798,121.146,172.67,153.689
1954,129.982,134.606,170.467,283.144,208.096,236.062,271.634,201.79,236.602,318.521,254.514,292.976
1955,164.731,30.071,123.163,232.623,126.674,136.664,155.724,290.075,270.758,387.475,211.123,147.598
1956,135.689,101.001,117.866,225.519,223.299,117.882,128.844,238.419,258.475,359.928,341.399,234.038
1957,70.443,86.003,197.519,232.816,301.767,156.339,162.269,163.39,272.533,187.111,178.893,163.567
1958,54.014,58.894,146.963,138.041,277.938,124.76,88.926,252.231,284.03,322.983,224.683,69.645
1959,65.791,96.026,141.296,197.447,223.013,245.255,142.089,126.432,114.326,211.929,231.637,108.0
1960,89.962,57.952,136.935,191.567,154.148,128.926,161.801,196.756,238.533,188.843,248.742,126.394
1961,39.583,63.995,109.834,208.564,153.743,168.706,87.16,68.958,78.957,83.637,151.357,113.353
