Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,289.661,170.29,227.626,314.328,202.282,158.19,153.906,202.751,204.242,234.538,251.211,473.782
2002,166.04,83.062,139.448,203.006,186.627,161.067,175.852,138.094,164.0,210.5,391.257,272.837
2003,257.892,131.153,162.755,313.855,140.566,135.639,168.58,167.943,171.635,273.823,323.529,281.442
2004,179.961,65.196,241.867,205.71,161.082,111.633,232.443,84.44,212.035,276.985,351.934,294.425
2005,196.754,73.863,150.831,191.03,208.263,126.314,162.84,147.124,180.371,261.262,303.572,216.265
2006,219.363,149.463,128.83,299.304,243.863,253.753,195.953,137.056,163.147,168.833,402.313,438.531
2007,301.183,133.314,260.271,330.166,255.444,244.263,264.855,203.637,215.134,287.163,289.213,393.433
2008,253.93,83.307,407.381,331.325,171.829,227.266,219.431,252.307,157.892,250.477,333.646,274.345
2009,104.538,115.717,349.976,183.969,160.772,155.347,123.649,223.823,153.49,198.589,362.608,321.04
2010,200.607,71.413,266.775,247.238,243.053,211.428,216.315,211.2,263.887,213.532,399.671,269.111
2011,315.396,48.047,240.117,247.818,240.265,185.073,115.91,153.98,176.284,349.014,344.355,316.19
2012,138.051,247.959,287.766,288.981,214.411,115.501,197.641,178.796,183.156,319.518,457.699,406.031
2013,158.298,413.441,163.15,240.714,271.957,115.568,156.217,161.012,251.064,249.828,307.848,276.001
2014,73.787,17.04,110.672,217.063,312.824,173.335,196.135,260.63,95.867,184.382,381.557,487.769
2015,215.074,132.579,164.431,269.043,243.053,164.076,136.973,145.05,96.473,187.674,332.012,279.609
2016,219.072,154.201,135.63,245.715,323.046,149.692,159.334,201.942,199.212,233.802,405.79,250.717
2017,291.987,213.191,250.933,329.308,290.711,141.889,136.012,240.19,194.519,202.097,381.105,211.681
2018,382.568,63.126,155.586,243.289,237.596,202.929,120.065,93.395,164.494,408.352,400.54,318.999
2019,130.2,59.563,144.869,199.679,211.837,272.303,115.754,81.606,145.608,412.51,250.655,333.313
2020,125.693,102.893,176.602,265.846,270.528,316.083,262.7,153.651,309.766,147.263,467.712,247.523
2021,261.346,18.421,359.24,327.29,315.302,218.471,182.163,281.145,250.435,289.502,284.032,209.611
2022,156.298,168.085,240.659,223.781,185.34,255.968,160.191,297.588,167.548,376.214,331.873,265.917
2023,317.286,205.217,292.989,246.573,174.76,210.469,209.692,291.82,193.98,297.905,409.058,444.061
2024,404.05,100.54,192.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
