Year,Month,Temperature,Humidity,Rainfall,Wind Speed
2023,Jan,26.07,86.098,317.286,-0.046
2023,Feb,26.388,84.525,205.217,-0.775
2023,Mar,26.478,85.111,292.989,-1.338
2023,Apr,27.648,84.363,246.573,0.001
2023,May,28.444,82.243,174.76,0.055
2023,Jun,27.933,83.548,210.469,-0.337
2023,Jul,27.774,83.674,209.692,-0.502
2023,Aug,27.586,83.815,291.82,-1.118
2023,Sep,27.817,82.018,193.98,-1.37
2023,Oct,27.955,83.138,297.905,-0.813
2023,Nov,27.172,86.034,409.058,0.477
2023,Dec,26.814,88.498,444.061,-0.339
