Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1940,-0.761,-1.519,-1.531,0.153,0.007,-0.695,-1.353,-1.595,-0.85,-0.616,0.546,0.059
1941,-0.232,-1.264,0.053,1.034,0.113,-0.539,-1.369,-1.85,-1.109,-0.469,0.704,1.197
1942,-0.274,-0.649,-1.028,-0.425,0.304,-0.095,-0.644,-0.583,0.502,1.469,0.669,-0.956
1943,-2.191,-1.903,-1.183,-1.106,-1.019,-1.279,-0.936,-0.787,0.366,1.359,0.382,-0.447
1944,-1.789,-1.382,-1.382,-0.186,-0.733,-1.25,-0.397,-1.179,-0.055,0.317,0.956,2.202
1945,0.341,-0.045,0.758,0.402,0.556,-0.492,-0.577,-0.483,-0.201,1.13,0.623,0.958
1946,0.28,-0.024,-0.036,0.343,-0.401,-1.157,-1.812,-1.364,-0.051,-0.282,-0.053,0.184
1947,-0.777,-0.841,-0.83,0.166,-0.29,-0.855,-0.698,0.393,0.146,1.789,1.075,-0.265
1948,-1.952,-1.444,-1.419,-1.099,-0.316,-0.86,-0.922,-1.021,-0.741,-0.879,-1.069,-1.123
1949,-1.397,-0.537,-1.566,-1.76,-1.445,-0.845,-0.716,-1.301,-0.023,0.717,0.238,0.471
1950,-0.543,-0.861,-0.956,0.182,-0.012,0.079,-0.45,-0.201,-0.027,0.194,1.322,-0.231
1951,-1.218,-0.98,-2.071,-1.17,-0.831,-0.898,-0.929,-1.178,-1.95,-1.034,-0.449,-0.635
1952,-1.795,-1.493,-0.804,-0.717,-0.271,-0.235,-0.812,-0.984,-0.725,0.851,0.861,-0.803
1953,-1.705,-0.685,-0.726,0.058,-0.04,-0.921,-1.224,-0.833,-0.878,-0.549,0.919,-0.016
1954,-0.388,-1.432,-0.451,1.403,0.623,0.265,0.063,-0.228,-0.124,0.693,1.829,-0.363
1955,-1.634,-1.383,-1.373,0.307,0.884,0.182,0.593,0.112,-0.32,0.539,2.385,-0.486
1956,-0.833,-0.947,-0.976,0.908,0.232,0.163,-0.002,0.75,0.152,0.668,0.197,0.313
1957,-1.274,-1.252,-0.856,-0.25,0.117,-0.491,0.571,-0.144,-0.619,-0.121,-0.706,-0.239
1958,-1.607,-1.518,-1.012,-0.884,0.809,-0.348,-0.93,0.264,0.165,1.276,0.479,-1.148
1959,-2.012,-1.851,-1.094,-0.019,-0.158,-0.057,-0.85,-1.234,-1.677,-0.327,0.873,-0.175
1960,-0.659,-1.565,-0.358,0.523,-0.255,-0.667,-0.707,-0.985,0.258,0.334,1.888,-0.494
1961,-1.741,-1.464,-1.779,0.114,0.282,0.284,-1.534,-1.812,-1.413,-0.251,-0.829,-0.292
1962,-1.124,-1.997,-0.858,-0.32,-0.266,-0.004,-0.511,-0.285,-0.703,0.849,0.6,-0.733
1963,-1.572,-2.177,-2.067,-2.369,-0.704,-0.904,-1.465,-1.375,-1.627,-0.426,-0.87,-0.608
1964,-0.802,-1.716,-1.025,-0.819,0.857,-0.506,-0.564,-0.806,0.19,1.639,2.076,-0.692
1965,-1.904,-1.179,-0.441,-0.379,0.288,-0.227,-0.89,-1.064,-1.073,-0.658,0.475,0.557
1966,-0.151,-0.753,0.009,-0.368,0.139,-0.497,-0.711,-1.074,-0.597,0.852,1.02,1.086
1967,0.169,-1.381,-1.171,-0.164,-0.261,-0.355,-0.888,-1.279,-1.268,-0.572,0.149,-1.322
1968,-1.234,-2.223,-1.666,-1.035,0.611,-0.116,0.932,0.723,-0.461,0.194,-0.19,0.463
1969,-0.996,-1.236,-1.268,-0.866,-0.447,-0.088,-0.955,-1.0,0.301,-0.23,0.601,-0.504
1970,-1.044,-2.027,-0.826,-0.405,0.282,-0.435,-0.431,-0.997,0.174,1.959,0.74,0.355
1971,-0.862,-0.849,-0.818,-1.21,0.264,-0.006,-0.351,-0.149,-0.301,1.602,1.608,0.069
1972,-1.557,-0.677,-1.481,-0.452,0.157,-1.045,-1.678,-1.488,-0.972,-0.991,0.082,0.188
1973,-1.192,-1.758,-0.889,0.111,0.02,-0.029,-0.383,-0.115,0.356,0.178,1.082,-0.107
1974,-1.482,-1.085,-1.751,-0.876,-0.242,-0.678,-0.457,-0.231,0.054,0.986,1.204,0.081
1975,-0.795,-0.92,-0.477,-0.308,0.159,-0.859,0.139,-0.788,0.505,0.924,0.906,0.406
1976,-1.709,-1.893,-1.375,-0.252,-0.317,-0.648,-0.895,-1.258,-0.48,0.715,0.607,-0.265
1977,-1.316,-1.395,-2.02,-1.657,-0.722,-0.269,-1.096,-0.934,-0.308,-0.668,-0.494,-0.819
1978,-1.015,-2.12,-1.301,-0.536,-0.097,0.195,-0.187,0.22,0.524,0.959,0.831,-0.855
1979,-1.804,-1.414,-0.96,-0.06,0.419,-0.049,-0.681,-1.05,-0.646,0.64,0.078,-0.817
1980,-1.009,-1.948,-0.845,-0.655,-0.633,-0.459,-0.865,0.095,-0.156,1.254,0.744,0.394
1981,-1.375,-1.184,-2.172,-0.673,-0.21,-0.243,-0.25,-1.386,0.716,0.227,1.952,-0.708
1982,-1.369,-1.55,-0.633,0.026,-0.091,-0.987,-1.358,-1.604,-1.493,-0.189,-0.514,-0.871
1983,-1.81,-2.369,-2.203,-1.615,-0.324,-0.526,-0.936,-1.175,-0.303,0.027,0.605,0.054
1984,-0.888,-0.678,-0.684,0.08,0.015,-0.096,-0.168,0.262,0.487,1.85,-0.143,0.119
1985,-1.515,-0.868,-0.456,0.43,-0.185,0.555,0.297,-0.695,0.138,0.724,1.566,0.036
1986,-1.295,-1.31,-0.848,-0.359,-0.717,-0.118,0.214,0.277,0.758,1.238,1.626,-1.293
1987,-1.141,-1.989,-1.615,-0.812,-0.151,-0.578,-0.494,-1.173,-0.479,-0.495,1.743,-0.088
1988,-1.058,-0.986,-0.583,-0.535,-0.39,-0.338,-0.829,-0.403,-0.18,1.982,1.139,-0.906
1989,-1.491,-1.467,-0.541,0.948,0.091,0.226,-0.352,0.132,-0.083,1.219,0.416,-1.583
1990,-0.703,-2.608,-1.88,-0.514,0.321,0.244,0.647,-0.164,-0.207,0.004,1.112,-0.741
1991,-0.863,-0.969,-1.558,0.083,-0.472,-1.018,-1.031,-1.46,-0.616,-0.824,0.563,-0.566
1992,-2.195,-1.684,-1.606,-0.47,0.442,-0.335,-0.257,0.507,0.437,1.941,-0.061,-0.382
1993,-1.57,-1.944,-1.417,-0.221,-0.113,-0.111,-0.144,-0.603,-0.633,0.029,0.042,-0.117
1994,-1.275,-1.187,-0.952,0.124,0.071,-0.709,-1.58,-1.497,-0.739,-0.905,-1.071,-0.248
1995,-1.27,-1.669,-1.016,-0.418,-0.574,-0.287,-0.796,-0.912,-0.198,1.156,0.975,0.359
1996,-1.106,-1.85,-1.819,0.07,-0.203,-0.521,-0.405,-0.217,0.663,1.462,1.227,0.808
1997,-2.014,-0.785,-1.707,-0.623,-0.387,-1.18,-1.65,-1.36,-2.403,-0.807,-0.679,-0.872
1998,-1.796,-1.972,-1.787,-1.604,-1.071,0.215,0.004,0.354,-0.043,1.833,2.28,0.895
1999,-0.414,-0.995,0.351,1.225,0.104,-0.044,0.005,-0.326,-0.167,1.053,1.636,0.593
2000,-0.99,-0.915,-0.458,0.318,0.456,-0.023,-0.426,-0.315,-1.019,1.949,0.105,0.566
2001,-0.33,-0.395,0.284,0.605,-0.383,0.395,-0.476,-0.106,-0.377,1.596,0.377,0.534
2002,-1.966,-1.909,-1.545,-0.803,-0.641,-0.45,-0.605,-0.84,-0.477,-0.641,0.248,-0.936
2003,-1.105,-1.563,-1.51,-0.363,-0.653,-1.489,-0.953,-0.617,-0.215,1.374,0.318,-0.676
2004,-1.84,-1.918,-1.213,-1.37,0.142,-0.054,-0.411,-1.622,-1.307,-0.592,-0.413,-0.551
2005,-1.796,-2.268,-2.042,-0.729,-0.079,-0.226,-0.273,-0.554,-0.479,1.085,1.602,1.277
2006,-0.813,-1.121,-0.722,0.332,0.509,0.035,-0.795,-1.179,-0.666,-1.105,-0.556,-0.347
2007,-0.292,-1.393,-0.061,-0.137,-0.323,-0.032,-0.343,-0.57,-0.071,1.014,1.036,-0.358
2008,-0.714,-0.908,-0.948,0.196,-0.33,-0.475,-1.189,-0.775,0.926,0.759,1.002,0.533
2009,-1.178,-0.564,-0.063,0.499,0.488,-0.432,-0.633,-0.274,0.233,0.435,0.927,-1.059
2010,-1.144,-1.903,-1.195,-0.455,-0.134,0.435,0.51,-0.08,0.354,1.041,0.535,0.803
2011,-0.73,-1.257,0.221,-0.409,0.373,-0.44,-0.992,-0.931,-0.468,-0.492,0.677,-0.229
2012,-0.227,-1.016,0.512,0.474,0.515,-0.586,-0.645,-1.234,-0.263,0.278,0.553,-0.241
2013,-0.71,-0.374,-1.002,0.547,0.007,0.978,0.174,-0.769,0.23,0.62,0.581,-0.39
2014,-1.349,-2.042,-1.911,0.251,0.012,-0.173,-0.504,-0.683,-1.027,-0.56,0.239,0.217
2015,-1.111,-2.145,-1.666,-0.62,-0.47,-0.757,-1.334,-1.327,-1.135,-1.882,0.009,-0.527
2016,-1.69,-1.992,-2.041,-1.051,-0.019,0.023,-0.216,0.092,1.071,1.899,1.149,1.156
2017,-0.184,-0.915,-0.823,0.803,-0.075,-0.334,-0.408,-0.819,-0.114,0.799,1.315,0.046
2018,0.451,-1.825,-1.293,-0.989,-0.668,-0.199,-0.77,-0.996,-0.802,0.003,0.254,0.467
2019,-0.49,-2.187,-1.206,-0.649,0.365,-0.645,-1.459,-1.684,-2.069,-0.731,-0.241,-1.302
2020,-1.444,-2.027,-1.593,-1.203,-0.195,-0.401,-0.618,-1.1,-0.244,0.946,0.03,0.259
2021,-1.071,-1.882,-1.22,0.328,-0.482,0.012,-0.432,-0.041,-0.103,0.292,0.921,-0.136
2022,-1.008,-0.832,-0.553,0.129,0.014,0.476,-0.562,-0.265,0.437,1.421,1.119,-0.22
2023,-0.046,-0.775,-1.338,0.001,0.055,-0.337,-0.502,-1.118,-1.37,-0.813,0.477,-0.339
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
