Year,Month,Temperature,Humidity,Rainfall,Wind Speed
1940,Jan,25.003,79.608,115.007,3.395
1941,Jan,25.462,82.924,125.33,2.362
1942,Jan,24.878,86.452,242.517,2.731
1943,Jan,25.305,68.752,18.683,4.825
1944,Jan,25.116,76.109,31.405,4.084
1945,Jan,25.123,85.389,218.818,2.644
1946,Jan,25.22,82.928,156.335,3.073
1947,Jan,25.432,84.157,143.649,2.617
1948,Jan,24.879,81.324,61.174,4.461
1949,Jan,26.38,65.214,3.308,4.302
1950,Jan,26.563,72.0,21.7,3.047
1951,Jan,25.273,80.475,75.387,3.858
1952,Jan,25.987,81.602,117.587,4.22
1953,Jan,25.707,82.245,93.016,3.664
1954,Jan,25.734,83.463,129.982,2.743
1955,Jan,24.909,83.679,164.731,4.218
1956,Jan,25.076,82.21,135.689,3.104
1957,Jan,25.445,79.437,70.443,3.657
1958,Jan,26.222,79.284,54.014,3.594
1959,Jan,26.086,77.541,65.791,4.163
1960,Jan,25.831,79.383,89.962,3.058
1961,Jan,25.815,76.716,39.583,4.168
1962,Jan,25.538,78.993,97.305,4.202
1963,Jan,25.366,74.402,35.512,4.617
1964,Jan,26.409,80.815,119.768,2.435
1965,Jan,25.292,72.081,8.542,4.269
1966,Jan,25.601,84.199,208.022,2.819
1967,Jan,25.545,81.836,119.877,2.986
1968,Jan,25.704,75.759,29.297,3.517
1969,Jan,26.195,81.84,76.913,2.528
1970,Jan,25.892,80.029,72.043,3.529
1971,Jan,25.305,78.594,413.173,4.323
1972,Jan,25.521,74.913,24.608,3.949
1973,Jan,26.407,77.174,50.997,3.42
1974,Jan,25.428,75.299,35.113,3.394
1975,Jan,25.957,79.127,76.404,3.028
1976,Jan,25.44,71.234,10.759,4.036
1977,Jan,26.275,75.918,58.594,3.083
1978,Jan,26.656,75.581,82.911,3.25
1979,Jan,26.642,72.552,34.458,3.827
1980,Jan,26.519,72.398,38.566,3.672
1981,Jan,26.129,74.072,32.605,3.353
1982,Jan,26.13,72.101,29.333,3.664
1983,Jan,26.708,74.971,34.967,4.18
1984,Jan,25.254,82.134,104.066,3.435
1985,Jan,26.201,76.221,52.96,3.682
1986,Jan,25.514,79.249,147.684,3.858
1987,Jan,25.733,79.199,121.077,3.837
1988,Jan,26.79,77.316,74.769,3.368
1989,Jan,26.189,80.521,110.463,3.674
1990,Jan,26.102,77.898,73.133,3.347
1991,Jan,26.334,78.717,106.937,3.255
1992,Jan,26.078,77.934,45.908,4.331
1993,Jan,25.942,80.613,132.636,3.89
1994,Jan,26.588,74.206,47.798,3.609
1995,Jan,26.29,79.928,120.786,3.895
1996,Jan,25.757,77.577,98.068,3.666
1997,Jan,26.364,74.504,33.041,3.914
1998,Jan,27.176,81.383,86.909,3.587
1999,Jan,26.259,83.375,177.671,2.669
2000,Jan,25.944,80.293,131.436,3.559
2001,Jan,26.152,83.063,201.298,2.807
2002,Jan,26.433,76.584,49.434,4.722
2003,Jan,26.578,79.195,97.777,3.651
2004,Jan,26.94,75.61,240.554,4.164
2005,Jan,26.243,76.297,102.757,4.323
2006,Jan,26.206,82.445,155.862,3.404
2007,Jan,26.19,83.298,192.683,3.791
2008,Jan,26.365,82.962,153.936,3.264
2009,Jan,26.175,76.473,160.588,3.949
2010,Jan,26.844,79.718,92.689,3.175
2011,Jan,25.853,83.113,206.205,3.556
2012,Jan,26.749,79.554,88.581,3.148
2013,Jan,26.844,79.536,105.411,3.682
2014,Jan,25.965,76.003,56.776,4.251
2015,Jan,26.466,77.132,112.935,3.823
2016,Jan,27.874,78.381,84.983,3.075
2017,Jan,27.066,81.322,203.624,2.942
2018,Jan,26.363,83.187,240.263,2.72
2019,Jan,27.627,75.557,62.374,3.849
2020,Jan,27.881,73.971,66.736,3.411
2021,Jan,26.22,79.053,124.094,3.981
2022,Jan,27.37,74.161,55.213,3.291
1940,Feb,25.815,73.708,31.26,3.172
1941,Feb,25.939,81.591,64.017,2.576
1942,Feb,25.584,80.366,77.293,2.4
1943,Feb,25.961,67.462,19.0,3.938
1944,Feb,25.863,72.294,29.461,3.198
1945,Feb,25.204,85.411,200.071,2.346
1946,Feb,24.898,84.71,221.099,2.953
1947,Feb,25.538,83.543,105.849,2.8
1948,Feb,25.719,79.232,35.067,3.289
1949,Feb,26.516,67.498,12.229,3.141
1950,Feb,26.481,78.74,94.801,3.008
1951,Feb,25.819,79.672,47.089,2.876
1952,Feb,26.305,81.217,47.525,3.057
1953,Feb,25.815,82.463,99.145,2.681
1954,Feb,25.825,82.125,134.606,2.926
1955,Feb,26.032,77.608,30.071,3.136
1956,Feb,25.75,83.109,101.001,2.562
1957,Feb,25.93,78.91,86.003,3.622
1958,Feb,26.252,77.707,58.894,3.658
1959,Feb,26.511,78.857,96.026,2.871
