Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1963,74.402,73.449,73.403,72.744,80.801,79.486,79.475,81.817,82.018,83.6,84.249,82.133
1964,80.815,79.006,79.95,81.65,81.087,80.961,84.502,81.691,81.697,83.315,83.571,82.463
1965,72.081,80.695,78.821,84.276,83.942,82.993,83.149,81.469,82.269,84.318,84.831,84.332
1966,84.199,82.461,82.621,84.228,84.425,82.434,83.679,83.75,84.644,84.539,85.711,85.418
1967,81.836,78.836,78.785,84.009,84.001,82.785,82.896,82.109,83.08,83.888,85.675,79.863
1968,75.759,71.381,78.189,82.103,83.052,83.905,81.521,83.383,81.999,84.942,83.941,84.475
1969,81.84,76.571,78.658,82.71,83.474,83.906,80.972,85.158,83.755,84.609,85.586,82.789
1970,80.029,75.412,78.934,82.824,83.95,82.557,82.583,83.46,83.368,82.845,84.33,84.463
1971,78.594,74.376,77.702,76.878,81.365,81.432,80.51,82.956,82.172,81.013,82.91,84.136
1972,74.913,77.857,76.112,82.052,83.458,80.906,78.416,81.254,82.844,82.533,83.688,84.454
1973,77.174,75.095,77.719,82.679,82.513,81.602,80.486,81.949,81.908,83.632,82.505,81.131
1974,75.299,77.436,73.446,79.538,81.751,80.964,82.486,81.503,83.249,80.772,82.756,81.363
1975,79.127,78.109,80.524,81.447,80.799,80.666,81.556,82.122,81.289,79.892,83.29,81.161
1976,71.234,69.51,75.31,79.875,81.772,80.9,81.125,80.598,82.293,82.85,82.82,81.268
1977,75.918,73.855,71.667,75.949,80.233,81.534,81.261,81.662,82.024,81.082,81.551,76.424
1978,75.581,71.242,76.755,77.998,80.364,77.526,79.315,80.287,81.289,81.425,82.803,76.662
1979,72.552,74.749,76.567,82.515,80.178,82.723,82.125,82.222,83.617,82.361,84.276,75.235
1980,72.398,71.657,79.598,81.868,83.315,82.426,82.344,81.908,82.4,82.649,83.418,79.603
1981,74.072,77.81,76.837,83.473,83.724,81.039,81.309,80.069,83.276,82.789,82.075,78.008
1982,72.101,75.619,79.544,83.044,83.338,82.144,79.912,82.168,82.25,82.651,83.241,79.662
1983,74.971,73.983,73.815,77.492,82.497,81.153,83.13,83.198,83.023,83.125,83.422,82.736
1984,82.134,83.708,83.434,84.143,84.116,83.387,83.651,82.962,83.287,83.283,84.828,83.951
1985,76.221,82.958,82.47,81.297,83.858,75.748,81.176,83.204,83.648,84.691,85.339,82.834
1986,79.249,78.893,82.579,84.396,83.423,83.267,81.327,80.895,84.019,84.427,83.624,80.019
1987,79.199,73.215,79.851,82.708,84.087,83.02,83.873,83.999,83.756,85.15,83.354,82.548
1988,77.316,81.372,82.396,83.917,82.522,83.207,83.72,84.97,83.959,80.858,84.189,77.492
1989,80.521,73.412,81.613,83.888,84.648,80.619,81.832,82.609,83.467,83.386,82.449,79.112
1990,77.898,77.0,73.508,81.834,82.356,82.386,82.601,80.962,83.378,84.321,81.885,80.303
1991,78.717,75.616,78.706,82.875,85.906,82.073,81.505,82.506,82.846,83.55,85.45,85.189
1992,77.934,79.226,79.086,81.893,82.969,82.243,82.885,81.264,80.916,81.755,82.412,82.466
1993,80.613,76.09,80.397,83.08,83.443,81.115,83.533,81.624,82.248,82.895,84.561,83.177
1994,74.206,79.162,82.489,81.861,84.004,82.513,79.387,81.737,82.523,82.446,84.969,79.404
1995,79.928,80.287,79.755,82.348,82.545,82.177,80.696,83.522,81.994,82.518,84.252,82.366
1996,77.577,77.829,76.238,82.017,82.915,82.233,81.382,82.603,81.979,82.858,83.251,83.363
1997,74.504,79.292,79.539,82.959,81.816,81.387,82.105,82.831,82.464,84.798,84.639,84.005
1998,81.383,75.407,78.699,80.574,82.132,81.404,82.123,83.526,82.484,81.029,82.611,84.456
1999,83.375,78.03,82.333,80.139,83.618,82.138,80.56,83.625,82.502,83.786,83.167,81.254
2000,80.293,80.412,81.635,83.39,81.14,81.45,81.353,81.588,82.538,79.696,82.989,83.867
2001,83.063,80.394,80.421,84.248,82.655,80.36,79.755,82.018,82.866,81.281,82.434,81.77
2002,76.584,68.431,74.772,80.532,81.423,80.89,81.836,80.486,80.815,79.006,82.359,82.124
2003,79.195,77.498,77.075,81.717,80.05,78.509,80.774,81.519,81.49,80.262,83.633,79.548
2004,75.61,74.271,80.47,80.621,78.867,78.207,80.99,79.379,81.036,82.542,81.706,77.19
2005,76.297,71.098,74.536,79.969,80.755,78.995,79.412,80.065,80.489,82.318,82.464,83.521
2006,82.445,80.265,78.986,82.731,83.572,83.083,82.583,82.728,82.298,82.32,85.399,82.654
2007,83.298,80.113,82.767,83.972,82.842,82.879,82.885,82.624,81.696,84.026,84.742,84.038
2008,82.962,76.361,84.451,84.342,82.823,83.463,83.557,83.392,81.753,83.835,84.816,80.622
2009,76.473,78.17,83.707,81.944,81.527,81.358,80.268,81.312,81.297,80.971,84.872,82.29
2010,79.718,75.322,80.556,82.964,82.884,81.621,81.207,82.19,82.352,79.613,82.782,82.663
2011,83.113,77.482,82.065,81.104,81.231,81.543,80.786,81.869,81.857,82.795,84.488,82.955
2012,79.554,81.726,81.999,81.851,81.495,79.344,81.8,82.482,81.565,82.494,85.153,84.69
2013,79.536,83.621,80.591,82.008,81.514,74.774,78.896,78.888,81.207,82.146,83.586,82.563
2014,76.003,70.655,73.545,82.962,82.838,78.85,80.032,82.786,80.578,82.062,84.442,83.518
2015,77.132,72.124,76.64,80.488,82.879,81.536,80.941,81.445,81.958,81.354,84.65,81.983
2016,78.381,74.37,73.914,78.085,81.075,79.873,80.444,79.304,78.709,79.658,84.345,81.647
2017,81.322,80.753,82.61,82.98,82.653,80.319,80.12,81.741,82.352,80.605,84.327,81.557
2018,83.187,74.764,78.404,78.871,82.839,80.583,80.664,79.662,80.413,83.225,82.718,83.05
2019,75.557,70.613,73.779,80.558,79.434,82.047,79.821,78.684,78.101,81.631,81.468,78.829
2020,73.971,74.453,76.985,79.065,82.213,81.072,82.228,81.125,81.561,78.45,84.052,81.875
2021,79.053,70.947,77.423,80.753,81.75,79.581,79.279,81.151,79.523,78.341,80.631,79.233
2022,74.161,77.854,79.293,80.771,78.187,79.325,77.822,79.735,78.578,80.742,82.198,80.806
2023,79.939,77.641,78.485,80.644,77.302,78.919,80.473,83.424,82.375,82.149,82.898,84.997
2024,84.394,78.699,76.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
