Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1940,79.608,73.708,79.442,84.363,85.217,83.675,81.155,82.985,84.625,84.359,85.515,84.616
1941,82.924,81.591,84.731,85.571,85.622,83.641,82.976,84.651,83.482,85.555,85.963,85.76
1942,86.452,80.366,81.335,84.59,84.065,83.81,85.404,84.176,85.535,84.349,85.089,80.933
1943,68.752,67.462,79.224,81.592,82.898,81.103,82.043,82.742,84.722,85.6,87.821,83.5
1944,76.109,72.294,76.733,80.782,84.389,81.663,83.462,83.002,84.495,85.086,85.592,83.925
1945,85.389,85.411,84.873,83.885,83.783,84.198,83.736,84.968,84.266,85.432,86.486,84.432
1946,82.928,84.71,83.48,86.058,84.427,80.037,80.151,79.275,82.044,85.396,85.335,84.132
1947,84.157,83.543,84.367,85.369,86.409,83.965,85.38,86.461,86.237,86.011,84.362,84.871
1948,81.324,79.232,78.236,81.275,85.377,84.314,84.775,83.978,83.983,84.23,80.524,80.812
1949,65.214,67.498,64.105,65.367,61.397,69.822,73.114,74.586,76.571,75.991,78.009,75.413
1950,72.0,78.74,79.573,83.676,84.643,83.798,84.13,85.456,85.489,84.146,84.336,80.077
1951,80.475,79.672,77.298,82.364,81.932,80.955,82.616,83.037,80.243,82.877,84.535,82.682
1952,81.602,81.217,84.658,85.395,85.628,82.605,82.594,83.675,84.304,85.042,85.548,81.409
1953,82.245,82.463,83.275,84.707,85.437,84.584,84.858,84.364,83.582,84.525,84.607,83.789
1954,83.463,82.125,84.212,86.594,85.714,85.151,84.168,84.266,84.906,85.612,84.49,83.059
1955,83.679,77.608,80.819,84.976,81.506,82.605,82.304,84.867,86.251,85.957,84.01,80.753
1956,82.21,83.109,81.27,83.596,84.645,81.639,82.203,83.709,85.151,86.517,85.942,84.001
1957,79.437,78.91,83.939,85.494,86.671,82.523,82.709,83.05,84.599,84.266,83.161,84.851
1958,79.284,77.707,81.681,81.26,84.819,83.584,81.91,83.884,84.623,85.595,84.001,78.041
1959,77.541,78.857,77.054,83.787,84.715,84.284,82.38,82.154,81.264,83.661,84.719,81.211
1960,79.383,77.497,80.915,83.425,83.213,82.377,82.886,83.487,83.683,83.278,84.409,81.794
1961,76.716,75.613,79.346,82.125,81.968,80.437,81.481,80.373,81.058,81.885,82.71,81.809
1962,78.993,73.541,80.596,81.038,81.967,81.649,80.273,82.286,83.09,84.009,83.058,79.695
