Year,January,February,March,April,May,June,July,August,September,October,November,December
1971,84.185,83.577,83.285,79.393,83.479,83.053,81.731,83.804,83.662,83,83.963,86.759
1972,79.698,81.411,78.789,83.951,83.635,83.029,78.372,81.201,82.752,83.492,84.754,87.471
1973,84.224,82.515,82.209,83.001,82.148,83.635,81.678,82.888,83.77,85.26,85.37,85.196
1974,78.926,84.622,80.235,82.537,82.055,82.281,83.031,82.902,84.509,83.414,84.848,83.242
1975,83.688,82.827,81.543,83.447,83.531,81.709,83.753,83.628,83.66,82.143,84.519,82.499
1976,76.273,74.268,77.054,81.554,83.469,83.12,82.59,82.096,82.717,84.272,85.526,85.549
1977,80.377,83.24,82.217,82.162,82.393,83.54,83.857,82.762,83.981,82.504,84.939,84.462
1978,83.373,81.143,82.472,81.141,83.949,80.923,82.85,83.297,84.076,84.81,84.932,84.6
1979,83.573,84.241,81.364,85.499,82.889,84.756,83.498,82.728,84.955,84.068,87.349,82.848
1980,82.955,83.761,82.185,85.52,85.264,84.628,84.057,83.566,85.443,84.879,86.562,85.488
1981,79.088,83.368,84.505,86.063,86.792,83.834,83.645,80.78,85.508,84.754,83.038,84.584
1982,80.849,81.978,83.788,85.814,85.483,83.273,78.717,81.414,82.614,83.536,85.69,87.813
1983,86.752,81.153,76.797,78.245,84.987,84.237,83.928,84.036,83.849,83.672,84.484,87.837
1984,87.727,88.573,87.024,87.388,86.446,85.893,86.226,84.822,85.854,85.159,87.945,87.443
1985,83.971,86.911,87.142,85.553,85.999,80.908,84.098,83.719,85.57,86.832,87.188,87.022
1986,84.755,82.751,87.077,86.396,84.643,84.909,83.809,83.456,85.515,86.48,85.493,86.59
1987,86.64,80.879,85.51,85.308,85.591,83.442,84.55,84.358,83.863,85.362,84.852,87.048
1988,86.502,85.207,86.406,85.96,85.796,83.98,84.062,85.835,84.825,84.311,86.34,83.203
1989,86.984,79.648,85.058,84.8,85.492,82.217,82.502,83.391,83.954,85.023,86.029,86.033
1990,84.396,85.127,80.254,84.328,84.005,82.759,83.619,82.868,83.553,86.114,84.335,86.498
1991,86.165,83.11,81.773,84.993,87.849,82.287,81.581,81.145,82.514,82.622,88.389,90.169
1992,84.419,84.036,84.072,83.213,85.159,84.554,84.997,83.028,83.306,84.499,86.239,87.998
1993,85.546,79.052,84.919,83.996,84.578,82.987,85.414,82.149,82.38,85.077,86.164,85.681
1994,82.366,83.994,87.476,84.77,85.759,84.259,78.542,80.87,79.599,81.624,88.701,84.619
1995,87.2,87.476,82.927,84.769,84.484,83.734,82.38,84.145,82.525,84.88,86.104,84.958
1996,82.114,84.683,82.606,84.209,84.814,84.46,82.505,83.229,83.74,84.341,84.474,84.442
1997,77.199,83.016,82.713,84.504,83.338,81.584,80.399,82.698,82.335,84.575,86.422,87.985
1998,86.026,81.962,82.658,84.017,85.264,82.463,82.9,84.666,83.792,83.311,83.617,87.061
1999,86.902,82.491,85.579,83.33,84.387,82.337,82.273,82.597,82.844,85.354,84.717,84.521
2000,86.953,84.099,84.051,84.38,82.559,83.945,83.306,83.457,83.261,82.84,85.499,85.172
2001,85.645,83.56,84.024,86.504,84.601,82.53,81.781,83.41,83.341,83.066,84.776,85.156
2002,84.422,81.071,81.418,83.249,83.614,83.403,83.672,81.044,82.022,81.029,84.043,86.487
2003,85.376,83.807,81.421,84.197,82.101,78.656,80.868,82.7,82.505,83.03,85.641,85.04
2004,84.446,80.14,83.11,80.84,81.043,79.774,82.433,78.452,82.505,83.158,85.345,83.668
2005,81.569,75.467,78.972,82.181,83.38,81.624,81.63,81.811,82.073,82.43,85.007,84.781
2006,84.459,84.904,79.367,82.368,83.619,84.39,83.901,82.121,82.927,81.223,86.907,87.416
2007,86.022,82.46,84.773,85.137,84.856,85.645,84.074,82.167,82.571,85.174,85.566,86.987
2008,86.323,81.623,87.852,85.254,83.71,84.163,84.795,83.807,82.929,84.514,86.445,85.178
2009,81.239,80.09,84.449,84.54,83.199,82.6,80.554,82.458,82.503,82.354,86.073,87.208
2010,83.642,80.708,82.304,84.189,84.323,83.522,83.22,83.398,84.214,82.746,86.042,86.048
2011,86.646,81.379,84.883,84.129,84.123,83.548,81.823,82.969,82.097,85.334,86.989,87.171
2012,84.773,84.695,84.412,82.988,82.95,80.642,82.382,81.568,82.852,82.555,85.522,87.62
2013,84.342,88.19,83.673,84.824,84.584,78.137,81.403,81.63,83.395,83.276,85.113,86.599
2014,80.487,76.6,77.858,82.271,85.188,82.032,82.258,83.04,79.229,81.691,86.464,87.438
2015,81.532,80.311,80.753,83.911,84.874,82.858,82.533,82.924,82.755,82.326,86.265,85.454
2016,86.283,85.165,82.904,82.97,84.131,82.363,82.155,82,81.504,83.033,86.245,84.651
2017,85.915,84.588,84.113,85.152,84.723,82.768,81.673,82.569,82.902,82.675,85.674,84.315
2018,86.912,79.993,81.585,83.138,83.111,83.196,82.325,81.953,80.395,84.72,85.702,86.04
2019,82.082,78.694,77.462,83.039,84.612,85.966,80.268,79.71,80.722,84.808,84.545,85.094
2020,83.584,81.914,81.485,82.29,85.022,85.136,84.794,83.341,84.91,82.736,86.269,85.363
2021,85.331,77.5,82.589,83.325,84.895,83.175,81.619,84.165,82.554,83.184,84.916,84.28
2022,80.212,83.928,83.375,83.951,81.322,83.147,81.031,82.115,81.228,82.963,84.052,84.726
