Year,January,February,March,April,May,June,July,August,September,October,November,December
1940,83.37,79.811,79.569,85.091,86.106,83.67,80.491,82.995,85.635,83.341,86.777,88.04
1941,85.104,83.538,85.387,86.585,87.041,82.936,81.347,82.237,82.882,84.475,87.591,87.328
1942,88.554,84.699,83.932,86.093,85.272,84.487,86.184,84.103,86.257,86.288,85.906,85.639
1943,76.025,77.212,79.956,79.169,82.702,81.657,82.645,83.844,85.897,87.48,88.998,86.99
1944,81.509,76.855,78.52,83.854,86.588,82.42,84.642,82.029,83.992,85.688,87.412,85.786
1945,86.987,88.631,88.523,85.709,86.516,85.02,84.63,85.233,82.989,85.891,88.386,86.274
1946,86.934,89.817,85.105,86.412,85.234,81.666,79.787,80.289,81.587,86.156,85.181,87.077
1947,87.577,86.307,86.011,85.842,86.671,83.832,85.47,87.465,87.615,87.159,87.573,88.05
1948,87.52,83.753,80.749,81.816,86.592,86.519,84.412,84.252,83.131,84.613,83.039,86.282
1949,75.498,75.694,70.292,67.972,64.743,74.509,76.454,79.119,79.774,77.432,81.862,82.683
1950,78.408,83.574,83.696,86.139,86.36,86.083,85.105,85.983,86.197,84.802,86.617,85.704
1951,85.596,84.955,83.181,84.224,84.734,83.476,84.772,82.492,80.217,83.157,85.543,86.092
1952,86.635,85.67,86.048,86.487,86.563,84.862,82.567,82.355,83.627,85.636,87.505,85.122
1953,87.503,86.207,86.218,86.213,86.296,86.799,86.528,84.31,83.875,86.083,85.874,86.844
1954,87.356,86.608,85.513,87.808,87.447,85.849,84.869,85.284,83.687,86.582,86.952,87.55
1955,88.628,82.746,84.149,85.759,83.668,82.736,84.597,85.825,87.405,86.397,84.887,85.608
1956,86.259,84.716,84.136,85.36,86.204,83.117,82.918,85.232,85.28,88.16,88.71,86.538
1957,84.881,83.365,85.097,86.758,88.147,83.181,84.705,83.298,83.459,84.897,85.462,89.896
1958,83.997,84.393,83.581,82.964,85.844,84.926,82.049,85.805,83.756,87.442,87.225,83.242
1959,85.522,84.552,83.504,85.526,86.453,85.584,83.286,81.277,80.283,82.672,86.31,83.668
1960,84.516,83.979,81.311,83.257,83.351,81.697,83.065,82.922,84.285,83.106,84.477,85.45
1961,82.368,81.355,78.844,83.35,82.165,80.07,81.277,79.968,79.144,78.465,84.894,86.602
1962,84.704,81.246,84.043,81.706,82.543,81.567,80.785,83.114,81.86,83.638,85.071,82.822
1963,80.512,84.757,81.718,77.4,83.186,80.652,80.617,82.379,81.86,83.897,83.81,86.504
1964,85.682,87.619,84.728,84.033,83.973,83.043,85.991,80.81,83.721,84.887,84.965,87.786
1965,77.823,85.584,84.104,86.317,85.731,84.358,82.759,82.36,80.664,84.853,86.739,87.568
1966,87.832,86.517,84.5,85.296,86.224,84.357,85.074,83.794,83.627,86.821,87.346,87.392
1967,85.576,83.848,81.745,86.076,85.775,84.674,83.927,81.203,82.345,82.802,88.091,87.308
1968,82.494,77.02,83.948,83.487,84.897,85.081,83.726,84.637,81.313,85.497,86.457,87.369
1969,84.335,83.559,83.284,85.079,85.051,84.836,81.565,85.115,85.295,85.857,86.536,87.414
1970,85.667,83.106,80.528,85.43,86.327,83.713,83.526,84.191,83.794,85.621,86.572,85.895
