Year,January,February,March,April,May,June,July,August,September,October,November,December
2002,166.04,83.11,139.49,203.02,186.67,161.08,175.96,138.19,163.99,210.42,391.27,272.81
2003,257.9,131.15,162.77,313.81,140.61,135.61,168.56,167.91,171.67,273.87,323.47,281.45
2004,180,65.15,241.83,205.77,161.08,111.64,232.43,84.49,212.07,277.03,351.91,294.46
2005,196.8,73.86,150.9,191.11,208.26,126.39,162.9,146.99,180.36,261.31,303.61,216.27
2006,219.44,149.49,128.9,299.32,243.85,253.73,196.01,137,163.2,168.79,402.25,438.6
2007,301.19,133.36,260.23,330.1,255.55,244.27,264.84,203.71,215.21,287.12,289.18,393.44
2008,253.9,83.31,407.34,331.34,171.78,227.21,219.49,252.43,157.88,250.52,333.65,274.35
2009,104.54,115.74,349.98,183.9,160.72,155.29,123.71,223.74,153.48,198.68,362.55,321.08
2010,200.58,71.46,266.74,247.26,243.02,211.37,216.35,211.19,263.85,213.49,399.68,269.15
2011,315.4,48.07,240.08,247.77,240.3,185.05,115.89,154.03,176.29,349.02,344.4,316.23
2012,138.02,247.92,287.78,289,214.45,115.47,197.6,178.74,183.1,319.52,457.71,406.04
2013,158.3,413.47,163.19,240.73,271.99,115.57,156.22,161.01,251.03,249.83,307.86,275.95
2014,73.79,17.04,110.69,217.04,312.84,173.31,196.07,260.65,95.89,184.43,381.53,487.75
2015,215.12,132.56,164.45,269.06,243.02,164.05,136.95,144.97,96.52,187.63,331.99,279.68
2016,219.08,154.2,135.57,245.65,323.08,149.7,159.34,201.99,199.18,233.85,405.8,250.69
2017,292.03,213.19,250.97,329.3,290.72,141.9,136.04,240.18,194.55,202.14,381.08,211.69
2018,382.54,63.13,155.55,243.35,237.59,202.91,120.02,93.42,164.5,408.4,400.55,319.07
2019,130.2,59.54,144.91,199.7,211.85,272.25,115.79,81.6,145.64,412.56,250.7,333.23
2020,125.7,102.94,176.59,265.84,270.52,316.2,262.63,153.72,309.67,147.31,467.72,247.5
2021,261.35,18.42,359.29,327.35,315.27,218.48,182.12,281.16,250.4,289.5,284.04,209.62
2022,156.3,168.06,240.65,223.73,185.36,255.95,160.22,297.58,167.53,376.22,331.81,265.89
